name,product,location,unit,cost_class,year,scenario,price,currency,price_year,original_price,original_currency,original_price_year,source,conversion_source,trajectory_basis,interpolation,status,notes
"methanol production facility, construction","methanol production facility, construction",RER,unit,cap,2030,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"methanol production facility, construction","methanol production facility, construction",RER,unit,cap,2040,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"methanol production facility, construction","methanol production facility, construction",RER,unit,cap,2050,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"chemical factory construction, organics","chemical factory, organics",RER,unit,cap,2020,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"chemical factory construction, organics","chemical factory, organics",RER,unit,cap,2030,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"chemical factory construction, organics","chemical factory, organics",RER,unit,cap,2040,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"chemical factory construction, organics","chemical factory, organics",RER,unit,cap,2050,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"cooling energy production, at -25 °C, propylene compression refrigeration system 1 MW","cooling energy, at -25 °C",GLO,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.03,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"cooling energy production, at -25 °C, propylene compression refrigeration system 1 MW","cooling energy, at -25 °C",GLO,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.03,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"cooling energy production, at -25 °C, propylene compression refrigeration system 1 MW","cooling energy, at -25 °C",GLO,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.03,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"cooling energy production, at -25 °C, propylene compression refrigeration system 1 MW","cooling energy, at -25 °C",GLO,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.03,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"heat production, at heat pump 30kW, allocation exergy","heat, central or small-scale, other than natural gas",Europe without Switzerland,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived heat proxy,linear,PROXY,
"heat production, at heat pump 30kW, allocation exergy","heat, central or small-scale, other than natural gas",Europe without Switzerland,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived heat proxy,linear,PROXY,
"heat production, at heat pump 30kW, allocation exergy","heat, central or small-scale, other than natural gas",Europe without Switzerland,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived heat proxy,linear,PROXY,
"heat production, at heat pump 30kW, allocation exergy","heat, central or small-scale, other than natural gas",Europe without Switzerland,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived heat proxy,linear,PROXY,
"market for activated carbon, granular","activated carbon, granular",GLO,kilogram,op,2020,REMIND-EU_SSP2-NDC,2.5,EUR_2025,2025,,,,Generic activated-carbon market proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"market for activated carbon, granular","activated carbon, granular",GLO,kilogram,op,2030,REMIND-EU_SSP2-NDC,2.5,EUR_2025,2025,,,,Generic activated-carbon market proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"market for activated carbon, granular","activated carbon, granular",GLO,kilogram,op,2040,REMIND-EU_SSP2-NDC,2.5,EUR_2025,2025,,,,Generic activated-carbon market proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"market for activated carbon, granular","activated carbon, granular",GLO,kilogram,op,2050,REMIND-EU_SSP2-NDC,2.5,EUR_2025,2025,,,,Generic activated-carbon market proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
market for cooling energy,cooling energy,GLO,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived cooling proxy,linear,PROXY,
market for cooling energy,cooling energy,GLO,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived cooling proxy,linear,PROXY,
market for cooling energy,cooling energy,GLO,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived cooling proxy,linear,PROXY,
market for cooling energy,cooling energy,GLO,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.02,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Electricity-price-derived cooling proxy,linear,PROXY,
"market for cooling energy, at -100 °C","cooling energy, at -100 °C",GLO,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.1,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cryogenic-cooling proxy,linear,PROXY,
"market for cooling energy, at -100 °C","cooling energy, at -100 °C",GLO,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.1,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cryogenic-cooling proxy,linear,PROXY,
"market for cooling energy, at -100 °C","cooling energy, at -100 °C",GLO,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.1,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cryogenic-cooling proxy,linear,PROXY,
"market for cooling energy, at -100 °C","cooling energy, at -100 °C",GLO,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.1,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cryogenic-cooling proxy,linear,PROXY,
"market for cooling energy, at -15 °C","cooling energy, at -15 °C",GLO,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.025,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -15 °C","cooling energy, at -15 °C",GLO,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.025,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -15 °C","cooling energy, at -15 °C",GLO,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.025,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -15 °C","cooling energy, at -15 °C",GLO,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.025,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -45 °C","cooling energy, at -45 °C",GLO,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.04,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -45 °C","cooling energy, at -45 °C",GLO,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.04,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -45 °C","cooling energy, at -45 °C",GLO,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.04,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -45 °C","cooling energy, at -45 °C",GLO,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.04,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -55 °C","cooling energy, at -55 °C",GLO,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.05,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -55 °C","cooling energy, at -55 °C",GLO,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.05,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -55 °C","cooling energy, at -55 °C",GLO,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.05,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for cooling energy, at -55 °C","cooling energy, at -55 °C",GLO,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.05,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Temperature-adjusted cooling proxy,linear,PROXY,
"market for electricity, medium voltage","electricity, medium voltage",DE,kilowatt hour,op,2020,REMIND-EU_SSP2-NDC,0.1837,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant EU non-household 2025 proxy,linear,PROXY,
"market for electricity, medium voltage","electricity, medium voltage",DE,kilowatt hour,op,2030,REMIND-EU_SSP2-NDC,0.1837,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant EU non-household 2025 proxy,linear,PROXY,
"market for electricity, medium voltage","electricity, medium voltage",DE,kilowatt hour,op,2040,REMIND-EU_SSP2-NDC,0.1837,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant EU non-household 2025 proxy,linear,PROXY,
"market for electricity, medium voltage","electricity, medium voltage",DE,kilowatt hour,op,2050,REMIND-EU_SSP2-NDC,0.1837,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20260508-2,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant EU non-household 2025 proxy,linear,PROXY,
"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",Europe without Switzerland,megajoule,op,2020,REMIND-EU_SSP2-NDC,0.015,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/interactive-publications/energy-2026,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Industrial-gas-price-derived heat proxy,linear,PROXY,
"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",Europe without Switzerland,megajoule,op,2030,REMIND-EU_SSP2-NDC,0.015,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/interactive-publications/energy-2026,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Industrial-gas-price-derived heat proxy,linear,PROXY,
"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",Europe without Switzerland,megajoule,op,2040,REMIND-EU_SSP2-NDC,0.015,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/interactive-publications/energy-2026,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Industrial-gas-price-derived heat proxy,linear,PROXY,
"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",Europe without Switzerland,megajoule,op,2050,REMIND-EU_SSP2-NDC,0.015,EUR_2025,2025,,,,https://ec.europa.eu/eurostat/web/interactive-publications/energy-2026,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Industrial-gas-price-derived heat proxy,linear,PROXY,
"market for wastewater, unpolluted","wastewater, unpolluted",RoW,cubic meter,op,2020,REMIND-EU_SSP2-NDC,-0.003,EUR_2025,2025,,,,European wastewater tariff proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,Negative service price with negative waste-output exchange
"market for wastewater, unpolluted","wastewater, unpolluted",RoW,cubic meter,op,2030,REMIND-EU_SSP2-NDC,-0.003,EUR_2025,2025,,,,European wastewater tariff proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,Negative service price with negative waste-output exchange
